company_name,high,low,last_price,prev_close,change,percent_gain
BSE Limited,"5,534.40","5,000.00","5,479.80","4,684.35",795.45,16.98
Aster DM Health,504.00,451.80,483.50,453.35,30.15,6.65
P and G,"13,800.00","12,999.95","13,600.65","12,789.95",810.7,6.34
Atul,"6,270.25","5,740.25","6,136.60","5,797.90",338.7,5.84
SUMITOMO,568.95,528.45,559.35,530.35,29,5.47
Carborundum,"1,055.00",975.10,"1,014.15",963.70,50.45,5.24
Godfrey Phillip,"6,788.25","6,465.00","6,769.20","6,465.00",304.2,4.71
Aditya Birla Re,"2,025.00","1,870.00","1,959.90","1,879.35",80.55,4.29
Bayer CropScien,"5,288.90","4,757.85","4,909.60","4,708.30",201.3,4.28
Fortis Health,724.95,666.05,698.35,671.80,26.55,3.95
IGL,204.36,193.85,203.12,195.50,7.62,3.9
Suven Pharma,"1,159.90","1,091.00","1,151.00","1,110.20",40.8,3.68
R R Kabel,967.45,923.00,948.00,914.70,33.3,3.64
3M India,"29,416.30","27,720.00","28,889.15","27,891.90",997.25,3.58
Poonawalla Fin,352.90,338.35,350.45,338.60,11.85,3.5
Capri Global,178.79,166.30,170.21,164.90,5.31,3.22
Capri Global,178.79,166.30,170.21,164.90,5.31,3.22
Hind Zinc,475.00,451.25,461.90,447.90,14,3.13
Inox Wind,170.55,160.50,163.04,158.37,4.67,2.95
TATA Cons. Prod,"1,015.00",975.00,"1,001.90",973.55,28.35,2.91
Solar Ind,"11,285.00","10,949.95","11,244.00","10,935.10",308.9,2.82
Akums Drugs P,480.00,463.10,473.20,460.25,12.95,2.81
Krishna Inst.,642.10,609.00,639.60,622.50,17.1,2.75
Krishna Inst.,642.10,609.00,639.60,622.50,17.1,2.75
CDSL,"1,259.80","1,206.40","1,220.05","1,187.70",32.35,2.72
Piramal Pharma,225.50,218.71,224.75,218.79,5.96,2.72
ZFCVINDIA,"13,565.40","12,600.00","12,993.55","12,654.95",338.6,2.68
FSN E-Co Nykaa,179.50,174.88,179.08,174.55,4.53,2.6
BEML,"3,367.90","3,165.80","3,219.55","3,140.40",79.15,2.52
Voltas,"1,469.80","1,428.00","1,458.70","1,423.40",35.3,2.48
DOMS Industries,"2,895.00","2,801.10","2,877.25","2,812.30",64.95,2.31
Radico Khaitan,"2,450.00","2,331.15","2,428.95","2,375.30",53.65,2.26
Emcure Pharmace,"1,082.80","1,031.55","1,072.40","1,049.25",23.15,2.21
Balrampur Chini,552.00,532.00,547.50,535.70,11.8,2.2
C. E. Info Syst,"1,705.00","1,630.30","1,689.35","1,653.50",35.85,2.17
Ipca Labs,"1,510.70","1,420.50","1,501.90","1,470.05",31.85,2.17
Anand Rathi,"1,952.95","1,855.30","1,912.20","1,871.80",40.4,2.16
Finolex Cables,920.00,885.00,913.35,894.85,18.5,2.07
Indegene,590.00,561.00,578.50,566.85,11.65,2.06
City Union Bank,160.29,154.50,157.18,154.07,3.11,2.02
Tata Chemicals,872.15,849.50,864.90,847.80,17.1,2.02
Kotak Mahindra,"2,179.90","2,139.00","2,171.20","2,128.65",42.55,2
Britannia,"5,028.65","4,861.95","4,936.90","4,841.20",95.7,1.98
Grindwell Norto,"1,738.65","1,669.10","1,696.70","1,663.85",32.85,1.97
Muthoot Finance,"2,400.95","2,332.05","2,382.90","2,337.90",45,1.92
Apollo Hospital,"6,649.75","6,432.95","6,616.20","6,492.05",124.15,1.91
CenturyPlyboard,716.10,692.80,708.95,695.80,13.15,1.89
Zensar Tech,721.85,690.55,700.85,688.25,12.6,1.83
Engineers India,165.50,158.50,160.58,157.83,2.75,1.74
ONGC,254.90,243.26,246.38,242.17,4.21,1.74
Ratnamani Metal,"2,713.90","2,506.75","2,590.90","2,546.75",44.15,1.73
Chola Fin Hold,"1,805.00","1,712.25","1,751.45","1,721.60",29.85,1.73
Craftsman,"4,929.90","4,752.10","4,877.30","4,794.60",82.7,1.72
SKF India,"3,887.35","3,792.50","3,850.55","3,786.65",63.9,1.69
Rainbow Child,"1,455.35","1,368.00","1,401.70","1,378.50",23.2,1.68
Ramco Cements,912.00,884.85,896.75,882.75,14,1.59
Union Bank,128.15,124.59,126.18,124.21,1.97,1.59
Cummins,"3,079.00","3,001.15","3,051.85","3,004.35",47.5,1.58
Poly Medicure,"2,263.25","2,200.00","2,245.25","2,211.25",34,1.54
GlaxoSmithKline,"2,899.95","2,809.40","2,880.35","2,836.90",43.45,1.53
Timken,"2,972.00","2,690.00","2,750.65","2,709.55",41.1,1.52
HBL Eng,479.00,463.00,472.50,465.45,7.05,1.51
Sundaram Fin,"4,640.00","4,522.35","4,574.45","4,507.20",67.25,1.49
Bata India,"1,224.40","1,204.20","1,219.90","1,202.05",17.85,1.48
