company_name,high,low,last_price,prev_close,change,percent_gain
Reliance Power,60.50,52.17,58.10,52.22,5.88,11.26
Suzlon Energy,74.30,70.55,71.48,65.42,6.06,9.26
R R Kabel,"1,450.00","1,308.00","1,425.70","1,310.00",115.7,8.83
Wockhardt,"1,481.40","1,350.00","1,465.30","1,346.80",118.5,8.8
CCL Products,900.00,811.95,884.15,814.75,69.4,8.52
BSE Limited,"2,690.00","2,469.00","2,674.00","2,464.50",209.5,8.5
Muthoot Finance,"2,243.00","2,068.00","2,215.40","2,065.20",150.2,7.27
Elgi Equipments,548.40,499.30,535.20,499.10,36.1,7.23
Home First,"1,287.00","1,205.00","1,274.80","1,199.20",75.6,6.3
NBCC (India),126.70,113.94,123.36,116.20,7.16,6.16
Bank of Mah,54.42,50.74,53.98,50.99,2.99,5.86
MMTC Ltd,88.19,80.00,85.77,81.11,4.66,5.75
UCO Bank,33.76,31.00,33.05,31.28,1.77,5.66
Sai Life Sci,784.40,711.95,756.95,716.65,40.3,5.62
Clean Science,"1,600.00","1,449.60","1,549.20","1,466.90",82.3,5.61
Engineers India,239.00,223.50,229.48,217.36,12.12,5.58
Gujarat Pipavav,165.33,150.15,156.15,147.93,8.22,5.56
IOB,40.40,37.42,39.84,37.77,2.07,5.48
Krishna Inst.,688.55,645.50,684.25,649.15,35.1,5.41
Krishna Inst.,688.55,645.50,684.25,649.15,35.1,5.41
ZFCVINDIA,"13,424.00","12,640.00","13,368.00","12,696.00",672,5.29
Godfrey Phillip,"8,702.50","8,222.00","8,702.50","8,288.50",414,4.99
Concord Biotech,"1,784.90","1,691.40","1,748.50","1,666.90",81.6,4.9
IGIL,389.35,368.10,388.90,370.85,18.05,4.87
Jyoti CNC Auto,"1,305.00","1,235.90","1,295.60","1,239.10",56.5,4.56
Welspun Corp,938.80,891.05,935.55,895.00,40.55,4.53
Eternal,243.00,226.56,238.31,228.37,9.94,4.35
AWL Agri,279.85,263.80,275.00,263.95,11.05,4.19
Union Bank,147.90,140.47,146.79,141.11,5.68,4.03
Five-Star Busin,712.50,678.05,709.25,682.05,27.2,3.99
DOMS Industries,"2,457.80","2,370.00","2,447.80","2,355.60",92.2,3.91
NAVA,495.00,475.15,492.40,473.90,18.5,3.9
Central Bank,39.48,37.02,38.94,37.49,1.45,3.87
LT Foods,441.85,420.00,439.90,423.95,15.95,3.76
JK Bank,104.33,99.80,103.80,100.05,3.75,3.75
Canara Bank,115.32,109.30,114.76,110.73,4.03,3.64
Canara Bank,115.32,109.30,114.76,110.73,4.03,3.64
Glenmark,"1,466.00","1,408.10","1,457.10","1,406.40",50.7,3.6
PNB,106.25,101.10,105.82,102.31,3.51,3.43
Aster DM Health,574.00,541.00,559.30,541.00,18.3,3.38
Nuvama Wealth,"7,310.00","6,959.50","7,194.50","6,959.50",235,3.38
Aadhar Housing ,447.00,430.10,444.25,430.10,14.15,3.29
Olectra Greente,"1,248.40","1,200.00","1,229.60","1,190.80",38.8,3.26
Sobha,"1,479.90","1,415.00","1,433.00","1,388.60",44.4,3.2
